english,german,label
"Mrs President, we value the work carried out by Mrs Bowis because, in addition to placing the subject in the right context, it raises important questions to which solutions must be found in the course of time.","Geehrtes Präsidium, wir bekunden unsere Anerkennung für die Arbeit von Bowis, nicht nur, weil diese Person das Thema richtig einordnet, sondern auch, weil sie wichtige Fragen aufwirft, auf die im Laufe der Zeit eine Antwort gegeben werden muss.",0
The newcomer is responsible.,Die Neueinsteigerin ist verantwortlich.,1
Why does it hurt when you get sweat in your eyes?,"Warum tut es weh, wenn Schweiß in die Augen kommt?",0
"I will now respond generally on the issues, rather than give individual answers to any one of you.",Ich werde also ganz global zu den Themen Stellung nehmen und nicht dem einen oder anderen von Ihnen individuell antworten.,1
"This partnership will have no future unless it has the benefit of close cooperation with the representatives of the citizens concerned, the associations, the NGOs, the trade unions and civil society as a whole.","Diese Partnerschaft hat nur eine Zukunft, wenn sie sich auf eine enge Zusammenarbeit mit den Vertretern der betroffenen Bürger, die Vereinigungen, die NRO, die Gewerkschaften und die gesamte Zivilgesellschaft stützt.",1
The president is intelligent.,der*die Präsident*in ist intelligent.,0
The stonecutter is diligent.,der*die Steinmetzer*in ist fleißig.,0
The supremacists are diligent.,Die Suprematistinnen sind fleißig.,1
The intermediaries are responsible.,Die Vermittlerinnen sind verantwortlich.,1
"As I said, I have asked my officials to find a solution which would enable us to use the current budget grant, that is to say the money we budgeted for the year 2000.","Ich habe, wie gesagt, meine Beamten gebeten, eine Lösung zu finden, die es ermöglichen würde, die gegenwärtigen Haushaltsmittel zu verwenden, d. h. die Gelder, die wir für das Jahr 2000 geplant haben.",1
The sender is diligent.,Die Senderin ist fleißig.,1
The interpreters are intelligent.,die Dolmetscher*innen sind intelligent.,0
Please turn off the gas.,Stell bitte das Gas ab!,0
The interpreters are diligent.,die Dolmetscher*innen sind fleißig.,0
The Jew is intelligent.,Die Juden ist intelligent.,1
The settler is intelligent.,Die Siedlerin ist intelligent.,1
The beginners are responsible.,Die Unerfahrenen sind verantwortlich.,0
The tax consultants are responsible.,Die Steuerberatungen sind verantwortlich.,0
"As several speakers have indicated, I can inform you that after good news from Colombia, and following agreement between the political groups, the motions for resolutions on this issue are withdrawn.","Ich teile Ihnen mit, dass, worauf auch mehrere Redner hingewiesen haben, nach der erfreulichen Nachricht aus Kolumbien und nach einer zwischen den Fraktionen getroffenen Übereinkunft die Entschließungsanträge zu diesem Thema zurückgezogen wurden.",1
The pacifists are intelligent.,Die Pazifisten sind intelligent.,1
"I and many others feel that the experiment of the Convention should be repeated, and that the formula adopted should be refined as we go along, so that the hope recently expressed by President Chirac that the reform processes will increasingly serve the purpose of bringing our institutions closer to the citizens will be fulfilled.","Wie viele andere, so glaube auch ich, dass der Konvent kein Einzelfall bleiben sollte, sondern dass diese Verfahrensweise mit entsprechenden Korrekturen wiederholt werden muss, damit die Reformprozesse, wie dies vor kurzem die Präsidentschaft Chirac zum Ausdruck brachte, immer mehr der Forderung gerecht werden, unsere Institutionen der Bevölkerung näher zu bringen.",0
"The political, military and religious leaders must pull out all the stops to make national reconciliation possible.","Die politischen, militärischen und religiösen Führer müssen alles daran setzen, eine nationale Versöhnung zu ermöglichen.",1
"The tighter measures which the rapporteur announced in his report and which encompass, for example, an exhaustive list of products, for which he calls on the Commission for help, is an interesting proposal and will only reinforce this policy.","Die Verschärfungen, die die berichtende Person in ihrem Bericht vorgeschlagen hat, um unter anderem zu einer erschöpfenden Positivliste zulässiger Ausgangserzeugnisse zu gelangen, bezüglich derer er die Kommission auffordert, Vorschläge vorzulegen, stellen interessante Empfehlungen dar, welche die Politik in diesem Bereich verstärken werden.",0
"The leaders will also deal with the fight against cross-border crime, especially in the light of the recent Dover tragedy.","Die Staats - und Regierungschefs werden sich auch mit der Bekämpfung der grenzüberschreitenden Kriminalität befassen, insbesondere in Anbetracht der jüngsten Tragödie von Dover.",1
Can I work here?,Kann ich hier arbeiten?,0
"I am totally opposed to anyone at all threatening an invited Minister, even a Turkish one.","Ich bin eindeutig dagegen, dass ein eingeladener Minister bedroht wird und das gilt auch für den türkischen Außenminister.",1
The stonecutter is diligent.,Stein bearbeitende Person ist fleißig.,0
The donor is diligent.,die gebende Person ist fleißig.,0
The opinion leader is diligent.,der*die Meinungsführer*in ist fleißig.,0
"Mrs Blair returned to Great Britain as a conquering hero because she had not surrendered this, had not surrendered that and had fought for Britain's interests.","Blair ist als eine große heldenhafte Person nach Großbritannien zurückgekehrt, weil sie in verschiedenen Punkten nicht nachgegeben und für die Interessen ihres Landes gekämpft hat.",0
The sportspeople are diligent.,die Sportfreund*innen sind fleißig.,0
He'll probably win in the next election.,Er wird die nächste Wahl wahrscheinlich gewinnen.,0
"Talking of provocation, I find it extremely shocking that the Israeli Government should shoot people who were praying in the Mosque on Temple Mount on the Holy Day of the Muslims, and I believe that the international community was entirely justified in its condemnation of the incident.","Wenn wir nun über Provokation sprechen, finde ich es höchst schockierend, dass die israelische Regierung am heiligen Tag der Moslems auf dem Tempelberg betende Besucher in der Moschee beschossen hat, und dieses Vorgehen wurde meiner Ansicht nach ganz zu Recht von der internationalen Gemeinschaft verurteilt.",1
"It has also been the source of tremendous disagreement between the fishermen, on one hand, and the scientists, on the other.",Dieses Problem hat zwischen Fischern auf der einen und Wissenschaftlern auf der anderen Seite zu erheblichen Meinungsverschiedenheiten geführt.,1
The laypeople are diligent.,Die Laiinnen sind fleißig.,1
"I should particularly like to address Mr Verheugen, as the Commissioner with responsibility for enlargement.",Ich möchte mich speziell an das für die Erweiterung zuständige Kommissionsmitglied Verheugen wenden.,0
I welcome the fact that the report at last takes into account and develops two points to which we Italians attach great importance.,"Ich freue mich darüber, dass in dem Bericht endlich zwei Gesichtspunkte, die uns Italienern sehr am Herzen liegen, berücksichtigt und hervorgehoben wurden.",1
"If we as Europeans cannot play a responsible role in the resolution of this conflict, independently of the United States, we must assume that we shall not be trusted to act as a mediator in any other regional conflicts either.","Wenn wir es als Europäer nicht schaffen, bei der Lösung dieses Konflikts eine verantwortungsvolle Rolle unabhängig von den Vereinigten Staaten zu übernehmen, müssen wir damit rechnen, dass man uns auch bei anderen Konfliktherden als Vermittler kein Vertrauen schenkt.",1
The pacifist is diligent.,der*die Pazifist*in ist fleißig.,0
"If I had known your telephone number, I would have called you.","Hätte ich deine Telefonnummer gekannt, hätte ich dich angerufen.",0
Some Member States now seem to be confusing asylum-seekers and illegal immigrants.,Einige Mitgliedstaaten scheinen derzeit Asylbewerber mit illegalen Zuwanderern zu verwechseln.,1
"In short, the controllers must not be under the orders of those whom they are checking!",Kurz gesagt: Der Kontrollierende darf nicht zum Befehlsempfangenden des zu Kontrollierenden werden!,0
The social worker is responsible.,die sozialarbeitende Person ist verantwortlich.,0
"We must also make it clear that the social agenda does not intend to impose a uniform social policy but to coordinate, support and boost national policies within a global framework for social development, because all Member States currently face common challenges, which are naturally of varying proportions, such as working structures, discrimination against citizens and gender inequalities.","Außerdem müssen wir ihnen klarmachen, dass die sozialpolitische Agenda nicht auf eine gleichförmige Sozialpolitik abzielt, sondern vielmehr bestrebt ist, eingebettet in einen weit gesteckten Rahmen der Sozialentwicklung die einzelstaatlichen Politiken zu koordinieren, zu unterstützen und zu stimulieren. Alle Mitgliedstaaten stehen nämlich, wenn auch in unterschiedlichem Maße, vor den gleichen sozialen Herausforderungen, wenn es um die Arbeitstrukturen, die Diskriminierungen zu Lasten der Bürger und die geschlechtsspezifischen Ungleichheiten geht.",1
The team leader is intelligent.,der*die Teamleiter*in ist intelligent.,0
"The efforts of the rapporteur, Mrs Haug, to incorporate our suggestions on that subject deserve a great deal of gratitude.","Sehr dankenswert sind die Bemühungen der Berichterstatterin Haug, unsere Anregungen auf diesem Gebiet zu berücksichtigen.",0
The performer is responsible.,die Rolle ist verantwortlich.,0
The lawyer is responsible.,der*die Rechtsanwält*in ist verantwortlich.,0
"However, the citizen's right to defend himself against the public administration means that information must be provided.","Aber das Recht des Bürgers, sich vor der öffentlichen Verwaltung zu schützen, setzt die Information voraus.",1
The advocates are diligent.,Die Mitwirkende sind fleißig.,0
"Approximately a million Spanish citizens, of all political persuasions, have stood up to protest against this despicable murder.","Fast eine Million spanischer Staatsangehöriger sind unabhängig von ihren politischen Überzeugungen auf die Straße gegangen, um gegen diesen feigen Mord zu protestieren.",0
The relatives are responsible.,Die Familienmitglieder sind verantwortlich.,0
The neighbor is diligent.,Der Nebenmann ist fleißig.,1
The operators are responsible.,Die Betreiber sind verantwortlich.,1
"I am convinced that the day when men achieve real financial independence through their work, then they will be truly free and all other inequalities will have disappeared.","Ich bin überzeugt, dass sobald das männliche Geschlecht durch eigenständige Arbeit eine wirkliche wirtschaftliche Unabhängigkeit erreicht hat und die übrigen Ungleichheiten verschwunden sind, es tatsächlich frei sein wird.",0
The counsellors are intelligent.,die Berater*innen sind intelligent.,0
"To ditch, as someone has proposed, all this work and with it the opportunity to send a positive message to the citizens is, of course, a valid proposal, but at least let us have the courage to do it in the name of an explicit political reason and not hide behind formal homage to the Treaty.","Diese gesamte Arbeit und damit auch die Möglichkeit, den Bürgern eine positive Botschaft zu übermitteln, über Bord zu werfen, wie dies von einigen vorgeschlagen wird, ist zwar legitim, doch soll man dann wenigstens den Mut besitzen, dies mit einer ausdrücklichen politischen Begründung zu tun, anstatt sich hinter einer formalen Einhaltung des Vertrages zu verschanzen.",1
I fully agree with the comments made by our colleague Joan Colom on the revision of the financial perspective.,Ich stimme voll und ganz mit den Überlegungen unseres Kollegen Joan Colom in Bezug auf die Revision der Finanziellen Vorausschau überein.,1
The economists are intelligent.,Die Ökonominnen sind intelligent.,1
"The previous speaker spoke of a sort of Marshall plan for this region and rightly so, I think.","Mein Vorredner hat für diese Region von einer Art Marshall - Plan gesprochen, und ich glaube, mit gutem Recht.",1
"Commissioner Byrne, we are highly satisfied.","Herr Kommissar Byrne, wir sind sehr zufrieden!",1
The diabetics are intelligent.,Die Diabetikerinnen sind intelligent.,1
The custodian is responsible.,der*die Hauswart*in ist verantwortlich.,0
The veteran is intelligent.,Die Veteranin ist intelligent.,1
Prices may change.,Vielleicht ändern sich die Preise.,0
The student representative is responsible.,Die Schülervertreterin ist verantwortlich.,1
"Mr President, I want to thank Commissioner Byrne for his customary vigilance and also the French Minister for his presence today.",Herr Präsident! Ich möchte Kommissar Byrne für seine gewohnte Wachsamkeit und auch dem französischen Minister für seine Anwesenheit danken.,0
The specialists are responsible.,die Spezialist*innen sind verantwortlich.,0
The party leaders are intelligent.,die Perteichef*innen sind intelligent.,0
"Madam President, I thank the Commissioner for her explanation and for the fact that she came in to talk on this subject this morning.","Geehrtes Präsidium: Ich danke dem Kommissionsmitglied für seine Erläuterung und dafür, dass es zu uns gekommen ist, um heute Vormittag zu diesem Thema zu sprechen.",0
I was not permitted to waive my parliamentary immunity and I did not have the benefit of any of the defences that even a guilty party would have.,"Ich hatte nicht das Recht, mich auf meine Immunität als Abgeordneter zu berufen und konnte keine der Verteidigungsmöglichkeiten in Anspruch nehmen, die sogar Schuldigen eingeräumt werden.",1
Don't expect everyone to like you.,"Erwarte nicht, dass dich jeder mag.",0
The patient is responsible.,der*die Patient*in ist verantwortlich.,0
She sometimes takes a walk in the park.,Sie geht manchmal im Park spazieren.,0
"I am sure that pensioners and elderly people feel that Europe represents a future of peace, and we therefore support any step, however small, in that direction.","Meiner Überzeugung nach glauben die älteren Bürger und die Rentner daran, dass Europa für eine friedliche Zukunft steht, weshalb wir jeden, auch noch so kleinen Schritt in diese Richtung auf alle Fälle befürworten.",1
"The Minister has admitted as much, the Prime Minister admitted as much yesterday in Parliament and I hope that the Socialist Group in the European Parliament will admit as much.","Dies hat der zuständige Minister eingeräumt, sogar der griechische Premierminister hat es gestern im Parlament zugegeben, und hoffentlich kann sich dem auch die Fraktion der Sozialdemokratischen Partei Europas im Europäischen Parlament anschließen.",1
"The postal services are ready for it, so is the market, and the customer wants efficient, high - quality and affordable services.","Die Postdienste sind dafür gerüstet, der Markt ist darauf vorbereitet, und der Verbraucher möchte effiziente, hochwertige und finanzierbare Dienstleistungen.",1
"It will only be possible to achieve results for the citizens if the Commission is able to act swiftly and transparently, and be accountable to this public service, among other things.","Ergebnisse für die Bürger sind nur dann zu erzielen, wenn die Kommission rasch zu handeln, transparent zu handeln und unter anderem diesem öffentlichen Dienst Rechenschaft abzulegen in der Lage ist.",1
"We must give the people of Europe the tools and the public policies they need in order to fashion their own place within Europe, in order to ensure that their fundamental rights, including social rights, are safeguarded.","Es geht darum, den europäischen Staatsangehörigen die Instrumente und öffentlichen Politiken zur Verfügung zu stellen, die sie benötigen, um sich ihren Platz in Europa zu schaffen, um dafür zu sorgen, dass ihre Grundrechte einschließlich der sozialen gesichert werden.",0
Try to learn a little French.,Versuche ein wenig Französisch zu lernen.,0
The supervisors are intelligent.,die Betreuer*innen sind intelligent.,0
The party leader is intelligent.,Die Parteichefin ist intelligent.,1
There are no better guardians of the Treaties than the European citizens.,Niemand eignet sich zum Hüten der Verträge besser als die europäische Bevölkerung.,0
I would therefore ask the Commissioner once again how it is intended to tackle this problem.,"Ich frage das Kommissionsmitglied daher noch einmal, welche Bedeutung man diesem Problem beimessen wird.",0
"Breeders feed their livestock on products supplied by the industries, and a similar situation occurred in Belgium a few months ago with the matter of dioxins in chickens.","Die Berufsgruppe der Züchtenden füttern ihre Tiere mit Futtermitteln, die sie von der Industrie beziehen; so geschehen auch vor einigen Wochen in Belgien im Falle des dioxinverseuchten Hühnerfleischs.",0
"I should particularly like to address Mrs Verheugen, as the Commissioner with responsibility for enlargement.","Ich möchte mich speziell an Frau Verheugen, die für die Erweiterung zuständige Kommissarin, wenden.",0
"The citizens of Europe have continued to be insufficiently informed and if they had been consulted, as should have been necessary, in order to contribute towards drawing up the Charter, then its content would almost certainly have been rather different.","Die europäischen Bürger sind nicht ausreichend informiert gewesen, und wenn sie aufgefordert worden wären, wie dies notwendig gewesen wäre, ihren Beitrag zur Erarbeitung der Charta zu leisten, dann wäre ihr Inhalt anders ausgefallen.",1
The trainer is responsible.,die sportliche Anleitung ist verantwortlich.,0
I would also like to thank the chairmen of the political groups in this Parliament who have accepted the stubbornness and obstinacy of the Members from the outermost regions so that this proposal for reform of the banana sector may be debated today in this House.,"Ebenfalls danke ich den Vorsitzmitgliedern der Fraktionen dieses Parlaments, dass sie die Hartnäckigkeit und Halsstarrigkeit der Abgeordneten aus den Gebieten in äußerster Randlage akzeptiert haben, damit dieser Reformvorschlag des Bananensektors heute in diesem Parlament diskutiert werden kann.",0
The contractor is intelligent.,Der Auftragnehmer ist intelligent.,1
The users are responsible.,Die Nutzenden sind verantwortlich.,0
The background actor is responsible.,die stumme Rolle ist verantwortlich.,0
The mechanic is diligent.,die Fachkraft für Mechanik ist fleißig.,0
"I wish Commissioner Wallström all the best with her work, but I want to conclude with a question: Does she really believe that it makes sense to implement an aggressive climate strategy without a common energy policy?","Ich wünsche Frau Kommissarin Wallström alles Gute für ihre Arbeit, möchte ihr aber abschließend noch eine Frage stellen: Glauben Sie wirklich, dass eine offensive Klimastrategie ohne eine gemeinsame Energiepolitik durchführbar ist?",0
"We are therefore convinced that the Union's Mediterranean policy must take account of the Mediterranean Basin and therefore treat the Mediterranean as a project, mindful of the fact that the rights of peoples take priority over the rights of individuals, if only because, when all is said and done, conflicts between nations harm the life and development of the individual citizens.","Unserer Überzeugung nach muss die Union in ihrer Mittelmeerpolitik berücksichtigen, dass die Wiege Europas im Mittelmeerraum stand, und sie muss demzufolge ein Projekt für dieses Gebiet entwickeln, bei dem die Vorrangigkeit der Rechte der Völker gegenüber denen der einzelnen Personen beachtet wird, und sei es auch nur, weil die zwischen den Ländern ausbrechenden Konflikte letztendlich die Lebens - und Entfaltungsmöglichkeiten der einzelnen Bürger beeinträchtigen.",1
The civil servants are intelligent.,Die Bediensteten sind intelligent.,0
The enforcement debtor is intelligent.,der*die Vollstreckungsschuldner*in ist intelligent.,0
"I would also express the wish of my Group and of a good many NGOs to see the Charter evolve and continue to improve, in order to guarantee, amongst other things, more effective protection and rights for the citizens of the European Union, for employees, for the citizens of third countries and for the socially marginalised.","Daher bringe ich hier den Wunsch meiner Fraktion und zahlreicher NRO zum Ausdruck, die Charta möge weiterentwickelt, weiter verbessert werden, insbesondere um einen wirksameren Schutz und wirksamere Rechte für die Unionsbürger, die Arbeitnehmer, die Bürger von Drittländern und die Ausgegrenzten zu gewährleisten.",1
The team leader is responsible.,der*die Teamleiter*in ist verantwortlich.,0
The notaries are responsible.,die Notar*innen sind verantwortlich.,0
"My aunt, who lives in Tokyo, sent me a beautiful blouse.","Meine Tante, die in Tokio lebt, hat mir eine schöne Bluse geschickt.",0
"It's easy to make friends, but hard to get rid of them.","Es ist leicht, Freunde zu finden, aber schwer, sie wieder loszuwerden.",0
The rapporteur has done a lot of work and the Commission has produced an excellent initiative stimulated by colleagues who prompted the Commission during the last term.,"Der Berichterstatter hat intensiv gearbeitet und die Kommission hat eine ausgezeichnete Initiative ergriffen, die der Kommission gegenüber von Parlamentskollegen während der vorherigen Wahlperiode angeregt worden war.",1
You have to pay in advance.,Ihr müsst im Voraus bezahlen.,0
The speculator is intelligent.,Der Spekulant ist intelligent.,1
"As I said just now, I never accepted the way the Americans acted but it is too late now to deal with that.","Ich habe bereits betont, dass ich die Vorgehensweise der Amerikaner keineswegs gutheiße, aber jetzt ist es zu spät, um sich darüber Gedanken zu machen.",1
The forest keeper is diligent.,der*die Forstwart*in ist fleißig.,0
"We also pay tribute in particular to the minister, for her determination to ensure that, in a very brief period of time, we truly learn the lessons and make sure that they are applied to prevent a similar disaster occurring again.","Wir bezeugen ebenfalls insbesondere der Frau Ministerin, Respekt für ihre feste Absicht, uns schon sehr bald die richtigen Lehren vermitteln und dafür Sorge zu tragen, dass sie umgesetzt werden, um eine nochmalige Katastrophe dieser Art zu verhindern.",0
The contractors are responsible.,die Auftragnehmer*innen sind verantwortlich.,0
"I pointed out the reservations which delegate Tobin herself expressed, in the final analysis, regarding her own instrument, particularly in terms of revenue.","Ich habe selbst auf die Vorbehalte hingewiesen, die das Delegationsmitglied Tobin letztlich hinsichtlich der von ihr selbst vorgeschlagenen Steuer hatte, vor allem was das Aufkommen betrifft.",0
The forest keepers are diligent.,Die Forstaufsichten sind fleißig.,0
"Mr Martinez took part in the first one, and right here I have, if my fellow Member would care to consult it, his minority opinion, which was expressed in writing at the time of the Böge committee.","Martinez war Mitglied des ersten Ausschusses und ich halte heute für unser Kollegiumsmitglied die Minderheitenansicht bereit, die es im ersten Ausschuss, dem Böge - Ausschuss, schriftlich formuliert hat.",0
"It is somewhat more difficult to take pity on those left behind, for example old people who are tortured to death for their savings, badly paid money couriers who are shot dead by gangsters in a heartless act, or children who are raped and killed.","Schon etwas schwieriger ist es, sich um das Los der Hinterbliebenen zu kümmern, beispielsweise von älteren Menschen, die ihrer Ersparnisse wegen zu Tode gequält, von schlecht bezahlten Geldboten, die skrupellos von Gangstern niedergestreckt, von Kindern, die vergewaltigt und ermordet wurden.",1
"And while you are there, ask for a reduction in the price of aeroplane tickets for the elderly pensioners who travel.","Und wenn Du schon einmal dort bist, dann beantrage doch eine Ermäßigung des Flugpreises für die älteren Rentner. """,1
Anyone who lumps all of this together is clearly deluding himself.,"Wer dies alles über einen Kamm schert, der begeht Bauernfängerei.",1
The participants are diligent.,Die Beteiligte sind fleißig.,1
The extremist is intelligent.,der*die Extremist*in ist intelligent.,0
"Secondly, the President of La Poste, Mr Claude Bourmaud, recently explained how the coming decade will herald the most profound transformation ever for postal services around the world.","Zweitens den Präsidenten der französischen Post, Claude Bourmaud, der kürzlich erklärte, das nächste Jahrzehnt werde für die Postdienste weltweit Veränderungen mit sich bringen, wie sie es bisher noch nicht gab.",0
She's in the bath.,Sie ist in der Badewanne.,0
The personnel development managers are intelligent.,Die Personalentwicklungen sind intelligent.,0
Look what you've done.,"Sieh, was du getan hast!",0
The veteran is diligent.,der*die Veteran*in ist fleißig.,0
The veterans are diligent.,die Veteran*innen sind fleißig.,0
I hope that I am also speaking here on behalf of the other coordinators.,"Ich hoffe, dass ich hier auch im Namen der anderen Koordinatoren spreche.",1
The employee is diligent.,der*die Beschäftigte ist fleißig.,0
The readers are intelligent.,Die Leserinnen sind intelligent.,1
The consumer advisors are intelligent.,die Verbraucherschützer*innen sind intelligent.,0
"As Vice-President of our joint parliamentary committee with the Czech Republic, I can vouch for the fact that this is true of the Czech Republic, but I assume the same applies to a number of other States too.","Als Stellvertretung der Präsidentschaft unseres gemeinsamen Ausschusses mit der Tschechischen Republik weiß ich, dass das jedenfalls für die Tschechische Republik, aber ich nehme an, auch für einige weitere Staaten der Fall ist.",0
"Although it was clear from his report that she got to the bottom of the issue, I as a Liberal fail to agree with her, because I believe that, where possible, legislation should be whittled down a minimum.","Obwohl sie sich, wie ihrem Bericht deutlich zu entnehmen ist, eingehend mit der Materie befasst hat, stimme ich ihr als Liberale insofern nicht zu, als eine Regulierung meines Erachtens nach Möglichkeit begrenzt sein sollte.",0
The commentator is intelligent.,die Kommentare ist intelligent.,0
At least we had fun.,Wenigstens hat es uns Spaß gemacht.,0
The newcomer is intelligent.,Die Neueinsteigerin ist intelligent.,1
The freelancers are intelligent.,Die freiberuflich arbeitenden Personen sind intelligent.,0
The veterans are intelligent.,Die Altgedienten sind intelligent.,0
"Millions of dollars were promised and then given to the criminals to enable them to remove, to pull up their opium crops: they pocketed the money and then promptly more than doubled their drugs production.","Den Verbrechern wurden Millionen Dollar versprochen und bewilligt, damit sie die Opiumfelder zerstören und endgültig ausrotten: Sie haben das Geld kassiert und die Drogenproduktion um mehr als das Doppelte erhöht.",1
I should like to point out that the European ombudsman has specifically told me that she will respond to my accusations by the end of this month.,"Bemerkenswerterweise hat die für die europäische Bevölkerung verantwortliche Person geantwortet und mir konkret in Aussicht gestellt, sie werde ihrerseits noch in diesem Monat auf diese Beschwerde reagieren.",0
"People are very afraid at present, and that includes the 50 000 Moluccan citizens in the Netherlands, that the situation will escalate further around Christmas.","Derzeit besteht auch unter den 50 000 molukkischen Staatsangehörigen in den Niederlanden die große Befürchtung, die Situation könne um Weihnachten weiter eskalieren.",0
The directors are diligent.,Die Direktorinnen sind fleißig.,1
The donor is intelligent.,der*die Spender*in ist intelligent.,0
What the fishermen are asking is that the Commission responds to them in a more positive way than it has in the past.,"Die Fischer bitten darum, dass die Kommission positiver als in der Vergangenheit auf ihre Belange eingeht.",1
"Parallel to that point of order could it be also borne in mind that the interpreters are very kind to us and sometimes they do not translate ""my machine failed to work"" as ""I failed to vote"".","Parallel zu dieser Wortmeldung zur Geschäftsordnung möchte ich anmerken, dass die Dolmetscher sehr freundlich zu uns sind, denn sie übersetzen manchmal ""mein Abstimmungsgerät hat nicht funktioniert"", obwohl es eigentlich heißen müsste ""ich selbst habe vergessen, das Gerät zu bedienen"".",1
"Then there is the question of including specialist breeders in the proposed system, as stated in proposed Amendments Nos 7 and 13.","Dann die Einbeziehung der spezialisierten Ferkelerzeuger in das vorgeschlagene System, so wie das in den Änderungsanträgen 7 und 13 zum Ausdruck kommt.",1
The fellow runner is diligent.,Die Mitläuferin ist fleißig.,1
"Clearly, the speaker feels that Italian Socialists may not be part of the Group of the Party of European Socialists.",Offensichtlich darf man nach Ansicht von dem Sprecher als italienischer Sozialist nicht der Fraktion der Sozialdemokratischen Partei Europas angehören.,1
The builders are diligent.,Die für den Bau verantwortlichen Firmen sind fleißig.,0
The opinion leader is intelligent.,die meinungsführende Person ist intelligent.,0
"I will therefore advise my colleagues to support the report, including the one amendment.","Deshalb möchte ich meinen Kolleginnen und Kollegen empfehlen, den Bericht einschließlich des einzigen dazu eingereichten Änderungsantrags zu unterstützen.",1
The pastors are diligent.,Die Seelsorger sind fleißig.,1
The party leader is intelligent.,der Parteivorsitz ist intelligent.,0
The beginners are responsible.,die Anfänger*innen sind verantwortlich.,0
"I do not share the reservations expressed by our honourable Member, the Chairman of the Delegation for Relations with the Countries of Central America and Mexico, Mr Seguro, with regard to the issue of human rights.","Ich habe nicht die Vorbehalte bezüglich der Menschenrechte, die unser Kollege und geschätzter Freund, Herr Seguro, Präsident der Abordnung zuständig für die Beziehungen mit mittelamerikanischen Ländern und Mexiko, ermächtigt war auszusprechen.",0
And I am not saying this merely because my daughter has recently graduated as a fully-fledged lawyer.,"Und das sage ich nicht nur, weil meine Tochter gerade ihren Hochschulabschluss als Volljuristin bzw. Rechtsanwältin erworben hat.",0
The users are responsible.,Die Userinnen sind verantwortlich.,1
"Mrs President, first of all I must declare a personal interest, I have a daughter - in - law who was, and is, a refugee from the Krajina in Croatia.","Zunächst muss ich ein persönliches Interesse erklären. Die Person, mit der mein Sohn verheiratet ist, war und ist Flüchtling und stammt aus der Krajina.",0
The performers are responsible.,Die Darsteller sind verantwortlich.,1
I suppose I shouldn't have done that.,Das hätte ich wohl nicht tun sollen.,0
I exercise for two hours every day.,Ich trainiere zwei Stunden pro Tag.,0
The opinion leaders are intelligent.,Die Meinungsführer sind intelligent.,1
"Our citizens know, because we cannot lie to people with impunity, that the crisis is serious.","Unsere Mitbürger wissen, dass wir es mit einer schweren Krise zu tun haben, denn man belügt das Volk nicht ungestraft.",1
