english,german,label
I am most grateful to Commissioner Verheugen for clarifying the question of the closure of nuclear power plants.,"Ich bin Herrn Kommissar Verheugen sehr dankbar für seine klärende Bemerkung, die er zu der Frage der Stilllegung von Kernkraftwerken gemacht hat.",1
The specialist is responsible.,Der Spezialist ist verantwortlich.,1
The employee representative is responsible.,der*die Arbeitnehmervertreter*in ist verantwortlich.,0
The intermediaries are diligent.,Die Mittelspersonen sind fleißig.,0
The invoice recipient is diligent.,die rechnungsempfangende Person ist fleißig.,0
The opinion leader is intelligent.,die meinungsführende Person ist intelligent.,0
"I am totally opposed to anyone at all threatening an invited Minister, even a Turkish one.","Ich bin eindeutig dagegen, dass ein eingeladenes Mitglied eines Ministeriums bedroht wird und das gilt auch für das Mitglied des türkischen Außenministeriums.",0
The forest keeper is responsible.,Der Forstwart ist verantwortlich.,1
Men do have the ability and without imposing quotas!,Menschen besitzen Kompetenzen. Auch ohne Quoten!,1
I would ask the President-in-Office to at least answer our questions in writing if she cannot do so orally.,"Ich würde die Frau Ratspräsidentin bitten, unsere Fragen, wenn es mündlich schon nicht möglich ist, zumindest schriftlich zu beantworten.",0
The secretary is diligent.,der*die Sekräter*in ist fleißig.,0
The primary school pupils are intelligent.,die Grundschüler*innen sind intelligent.,0
"Firstly, please allow me to congratulate the spokesperson, Mr Ferber, because his work has been complicated and difficult and he has had to try to find a balance between dramatically differing proposals, positions and points of departure and arrival.","Gestatten Sie mir als Erstes, den Sprecher, Herrn Ferber, zu beglückwünschen, weil er natürlich eine komplizierte, schwierige Arbeit durchgeführt hat, bei der er versuchen musste, den Ausgleich zwischen völlig unterschiedlichen Vorschlägen, Haltungen sowie Ausgangs - und Zielpunkten zu finden.",0
The advocates are diligent.,Die Mitwirkende sind fleißig.,0
"The European Union must support the democratic forces in Indonesia but at the same time fathom out how it can help Indonesia to defy the negative forces in Indonesia certainly in the Moluccas, because so many Moluccan European citizens are so terribly worried.","Die Europäische Union muss die demokratischen Kräfte in Indonesien unterstützen. Gleichzeitig muss sie aber auch prüfen, wie sie Indonesien helfen kann, diesen negativen Kräften die Stirn zu bieten vor allem, was die Molukken betrifft, da so viele europäische Bürger molukkischen Ursprungs deswegen in großer Sorge sind.",1
"Incidentally, I am delighted to note, Mr Guy-Quint, that you are a specialist in this field who can be relied upon to debate the recast Financial Regulation in Parliament with competence and no doubt with passion too.","Ich bin im übrigen hoch erfreut, Guy - Quint, in Ihnen eine Fachkraft zu finden, die garantiert die Neufassung der Haushaltsordnung im Parlament nicht nur mit Kompetenz, sondern wahrscheinlich auch mit Leidenschaft debattieren wird.",1
Until they get the same as their equivalents in Italy this matter will rumble on.,"Solange sie nicht das Gleiche bekommen wie ihre Kollegen in Italien, wird diese Sache weiter rumoren.",1
"Neither can we base enlargement on the idea that a given applicant naturally has priority over another as if, without it, the whole process could not start at all.","Wir können auch nicht davon ausgehen, dass irgendein Bewerberstaat selbstverständlich der erste ist und ohne ihn die Erweiterung überhaupt nicht beginnen könnte.",0
The builder is diligent.,Der Bauträger ist fleißig.,1
The notaries are diligent.,Die Notarinnen sind fleißig.,1
"The efforts of the rapporteur, Mrs Haug, to incorporate our suggestions on that subject deserve a great deal of gratitude.","Sehr dankenswert sind die Bemühungen der berichterstattenden Person Haug, unsere Anregungen auf diesem Gebiet zu berücksichtigen.",1
"First of all I wish to thank the draftsmen, Mrs Rübig and Mrs Lehne, for their very comprehensive report on the proposal for a European Parliament and Council directive on general product safety.","Ich möchte zu Beginn den Verfasserinnen der Stellungnahme, Frau Rübig und Frau Lehne, für ihren umfassenden Bericht über den Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates über die allgemeine Produktsicherheit danken.",0
The team leader is responsible.,die Teamleitung ist verantwortlich.,0
"Madam President, allow me to start by congratulating our spokesperson, Mrs Marinho.","Frau Präsidentin, zunächst möchte ich unserer Sprecherin, Frau Marinho, meinen Glückwunsch aussprechen.",0
The economists are intelligent.,Die Ökonominnen sind intelligent.,1
The pensioners are diligent.,Die Pensionierten sind fleißig.,0
The stonecutters are intelligent.,Die Steinmetze sind intelligent.,1
The relative is intelligent.,der*die Angehörige ist intelligent.,0
The hairdresser is responsible.,der*die Friseur*in ist verantwortlich.,0
The enthusiasts are diligent.,Die Enthusiasten sind fleißig.,1
"In the hope of seeing the final line taken by the spokesperson endorsed and declaring my support for her regarding the amendments which are to be put to the vote in plenary, I trust that this directive will rapidly continue through the procedures towards the confirmation of the Union's undertaking.","In der Hoffnung auf eine Bestätigung der endgültigen Orientierung der Sprecherin pflichte ich ihr im Hinblick auf die Änderungsanträge, die dem Plenum erneut zur Abstimmung vorgelegt werden, bei und wünsche mir, dass diese Richtlinie rasch das weitere Gesetzgebungsverfahren durchlaufen möge, um das Engagement der Union zu bestätigen.",0
"I should like to thank the Commissioner for attempting to answer my question, but I should point out that students in Greece are currently somewhat confused because the free study centres are claiming that they are able to issue study diplomas which qualify for recognition under Directive 89 / 48 / EEC, if, and provided that, the course in question is completed in Britain, while the Greek authorities and the competent bodies are refusing to recognise diplomas issued for courses completed in Britain.","Ich danke dem Kommissionsmitglied für sein Bemühen, auf diese Frage eine Antwort zu geben, möchte jedoch darauf hinweisen, dass die Studierenden in Griechenland mit folgender konfusen Situation konfrontiert sind: Während die Zentren für freie Studien auf der Grundlage der Richtlinie 89 / 48 / EWG den Anspruch erheben, die von ihnen ausgestellten Diplome könnten im Falle eines Abschlusses dieser Studiengänge in Großbritannien allgemeine Geltung erlangen, weigern sich andererseits die griechischen Behörden und die zuständigen Stellen, diese nach Beendigung des Studiums in Großbritannien erworbenen Diplome anzuerkennen.",0
The worker is diligent.,die Arbeitskraft ist fleißig.,0
The course participant is intelligent.,Die Kursteilnehmerin ist intelligent.,1
"I only wish that both this House and many of your colleagues in the Commission would see the importance of Asia's relations with Europe from the right perspective, and that includes the Union's fisheries policy.","Ich wünschte, sowohl dieses Haus als auch manche Ihrer Kollegiumsmitglieder in der Kommission würden die Bedeutung der Beziehungen Asiens zu Europa in der richtigen Relation sehen, auch zur Fischereipolitik der Union.",0
The influencers are diligent.,Die Einflussnehmer sind fleißig.,1
I would therefore ask the Minister and the Commissioner to take account of this and adjust their speaking times accordingly.,"Deshalb ist meine Bitte an den Herrn Minister und an den Herrn Kommissar, dass sie dem bei der Länge ihrer Beiträge entsprechend Rechnung tragen.",1
The diabetics are intelligent.,Die Diabetikerinnen sind intelligent.,1
"I welcome this initiative, which responds to the expectations of our fellow citizens, the citizens of Europe.","Ich kann diese Initiative, die den Erwartungen der Menschen in Europa entspricht, nur begrüßen.",0
The traveller is responsible.,der*die Reisende ist verantwortlich.,0
"The European Union must support the democratic forces in Indonesia but at the same time fathom out how it can help Indonesia to defy the negative forces in Indonesia certainly in the Moluccas, because so many Moluccan European citizens are so terribly worried.","Die Europäische Union muss die demokratischen Kräfte in Indonesien unterstützen. Gleichzeitig muss sie aber auch prüfen, wie sie Indonesien helfen kann, diesen negativen Kräften die Stirn zu bieten vor allem, was die Molukken betrifft, da so viele in Europa lebende Menschen molukkischen Ursprungs deswegen in großer Sorge sind.",0
The newcomer is responsible.,Die Neueinsteigerin ist verantwortlich.,1
"You are responsible for the health of millions of citizens, and also for the deaths of thousands of young people who have not been given sufficient information.","Sie sind für die Gesundheit von Millionen Mitmenschen verantwortlich, aber auch für den Tod tausender junger Menschen, die nicht ausreichend informiert sind.",0
The forest keeper is diligent.,Die Forstwartin ist fleißig.,1
"According to the co-rapporteur, Mr Duff, this is a major step towards improving the quality of European integration.",Der Bericht erstattenden Person Duff zufolge stellt dies einen wichtigen Schritt zur Verbesserung der Qualität der europäischen Integration dar.,1
"The European Union must therefore support the initiatives by President Andrés Pastrana, aimed at achieving a negotiated peace between her government and the so-called National Liberation Army.","Aus diesem Grund muss die Europäische Union die Initiativen von Andrés Pastrana unterstützen, die auf einen zwischen der Pastrana-Regierung und den Guerillagruppen, den Streitkräften und der so genannten Nationalen Befreiungsarmee, ausgehandelten Frieden gerichtet sind.",1
The operators are diligent.,Die Betriebsgesellschaft sind fleißig.,0
It is clear that many weapons find themselves in the wrong hands because of the activity of arms brokers.,"Natürlich ist klar, dass viele Waffen über den Waffenhandel in die falschen Hände gelangen.",0
"The Commissioner today, for the first time, in his very brief intervention, has used the words ""no doubt"" at least three times and the words ""clear"" or ""clearly"" at least three times.",Heute hat der Kommissar in seiner äußerst kurzen Wortmeldung erstmals mindestens drei Mal die Wörter no doubt und mindestens drei Mal die Wörter clear oder clearly gebraucht.,0
"We are not only protecting the rights of young people, since the same applies to researchers.","Wir setzen uns nicht nur für die Rechte der Jugendlichen ein, denn Gleiches gilt für die Forscher.",1
The hairdressers are diligent.,Die frisierenden Personen sind fleißig.,0
"I should, moreover, like to pay tribute, at this point, to the deputy, Mr Sudre, for his open-mindedness and his consultative approach, which made it possible to successfully complete a report which offers our regions real hope.","Ich möchte hier auch unserem Stellvertreter, Herrn Sudre, meine Anerkennung für seine Offenheit und seine Bereitschaft, sich mit allen abzustimmen, aussprechen, die ermöglicht haben, einen Bericht vorzulegen, der unseren Regionen wirklich Hoffnung bringt.",0
"Mrs President, let me begin by thanking the delegate for her work.",Frau Präsidentin! Zunächst einmal möchte ich der Delegierten für ihre Arbeit danken.,0
I would urge caution on all colleagues in all of the committees and groups who choose now progressively to undermine the dignity and substance of the work of this House.,"Ich möchte alle präsenten Personen in allen Ausschüssen und Fraktionen, die jetzt immer öfter die Würde und Substanz der Arbeit dieses Parlaments untergraben, dringend zur Zurückhaltung mahnen.",0
The tax consultants are responsible.,die Steuerberater*innen sind verantwortlich.,0
The losers are intelligent.,die Verlierer*innen sind intelligent.,0
The client is intelligent.,Die Klientin ist intelligent.,1
The contemporaries are diligent.,Die Zeitgenossen sind fleißig.,1
We have met President Prodi and have seen that she has personally taken on the development of the White Paper in accordance with many of the recommendations that have been received year after year from the Court over which Mrs Karlsson so ably presides.,"Wir, haben uns kurz zuvor mit Präsidentin Prodi getroffen und uns überzeugt, dass sie sich persönlich für die Realisierung des Weißbuchs einsetzt, wobei viele der Empfehlungen Berücksichtigung finden, die Jahr für Jahr bei dem durch Frau Karlsson so würdig geleiteten Rechnungshof eingehen.",0
The tax consultants are diligent.,Die Steuerberaterinnen sind fleißig.,1
The employee representative is responsible.,die Arbeitnehmendenvertretung ist verantwortlich.,0
The relative is intelligent.,Die Angehörige ist intelligent.,1
The xylophone players are responsible.,Die Xylophonspielerinnen sind verantwortlich.,1
The practitioners are intelligent.,Die Praktikerinnen sind intelligent.,1
The Committee on Legal Affairs has formulated a clear position here and thrown its weight behind the Union citizens whose rights have been restricted.,Der Rechtsausschuss hat hier eine klare Position formuliert und sich an die Seite der in ihren Rechten eingeschränkten Unionsbürger gestellt.,1
The clients are responsible.,die Klient*innen sind verantwortlich.,0
The donor is intelligent.,der*die Spender*in ist intelligent.,0
That comes to one and a half euros for every poor European.,"Das sind 1,5 Euro für jeden armen Menschen in Europa!",0
"I should like to end by stressing that our distinguished spokesperson, Mr Rocard, took extensive account of the scientific observations and many of the suggestions in my opinion.","Abschließend möchte ich unterstreichen, dass unsere verehrte sprachführende Person Rocard die wissenschaftlichen Anmerkungen und viele Hinweise in meiner Stellungnahme weitgehend berücksichtigt hat.",1
"I also thank my colleague, Mr Cashman, for accepting my amendments on the action programme which will guarantee European money to cover the extra cost of disability.","Ich danke auch meinem Kollegen, Herrn Cashman, für die Aufnahme meiner Änderungsanträge zum Aktionsprogramm, durch die Zuschüsse der Europäischen Union zur Deckung der zusätzlichen Kosten für Behinderte sichergestellt werden.",0
The pacifist is intelligent.,Friedensbewegte ist intelligent.,0
"That said, since I am a dreamer whose feet are firmly on the ground, I will hold onto my dreams and work towards their realisation.","Da ich eine Person mit Vorstellungskraft bin, die mit beiden Füßen fest auf der Erde steht, gebe ich meine Träume nicht auf und versuche, alles dafür zu tun, um sie zu verwirklichen.",0
The social worker is diligent.,Der Sozialarbeiter ist fleißig.,1
The practitioners are intelligent.,Die Praktiker sind intelligent.,1
The issue of time limits is crucial both for the citizens of the countries of the East and for the European Union.,Das Problem der Fristen ist für die Bevölkerung der östlichen Länder sowie für die EU von entscheidender Bedeutung.,0
The signee is intelligent.,die unterzeichnende Person ist intelligent.,0
The hairdressers are intelligent.,Die Friseur sind intelligent.,1
"Clearly, the speaker feels that Italian Socialists may not be part of the Group of the Party of European Socialists.",Offensichtlich darf man nach Ansicht von dem Sprecher als italienischer Sozialist nicht der Fraktion der Sozialdemokratischen Partei Europas angehören.,1
"I therefore agree with the rapporteur, Mr De Roo, when he proposes that we should waste no more time and transform this directive on the assessment and management of noise into a binding framework directive.","Deshalb stimme ich dem Berichterstatter de Roo zu, wenn er vorschlägt, dass wir nicht noch mehr Zeit verlieren und dürfen diese Richtlinie über die Bewertung und Bekämpfung des Lärms zu einer verbindlichen Rahmenrichtlinie machen müssen.",0
The performers are diligent.,Die Darstellerinnen sind fleißig.,1
"Only the Belgian President, Mr Verhofstadt, was a notable exception.","Die einzige erfreuliche Ausnahme bildete der belgische Regierungschef, Herr Verhofstadt.",0
"I wish to express my gratitude, mainly to the authors of these two reports, but also to Commissioner Verheugen.","Gestatten Sie mir hier insbesondere den Verfasserinnen und Verfassern des Berichts, aber auch Herr Kommissar Verheugen meine Anerkennung auszusprechen.",1
The young student Béchir Habid has been on hunger strike since 18 October.,Der junge Student Béchir Habid befindet sich seit dem 18. Oktober im Hungerstreik.,1
The lawyer is diligent.,der*die Rechtsanwält*in ist fleißig.,0
The President of Italy addressed this House today and she said that it was not the aim of this Union to negate national values.,"Ich habe heute vernommen, wie die italienische Präsidentin vor diesem Haus gesagt hat, dass es nicht das Ziel der Europäischen Union sei, die nationalen Werte zu zerstören.",0
The kindergarten teacher is responsible.,die pädagogische Fachkraft ist verantwortlich.,0
"Despite the differing situations in Member States, there are generally fewer women in the labour market, they are most affected by unemployment, including long - term unemployment, and by casual labour, part - time work and atypical, insecure and badly paid work.","Auch wenn die Lage in den Mitgliedstaaten unterschiedlich ist, lässt sich allgemein sagen, dass es auf dem Arbeitsmarkt weniger Frauen gibt. Frauen sind am stärksten von Arbeitslosigkeit betroffen, auch von Langzeitarbeitslosigkeit, unsicherer Arbeit, Teilzeitarbeit, atypischer, ungewisser und schlecht bezahlter Beschäftigung.",0
I fully agree with the comments made by our colleague Joan Colom on the revision of the financial perspective.,Ich stimme voll und ganz mit den Überlegungen unseres Kollegen Joan Colom in Bezug auf die Revision der Finanziellen Vorausschau überein.,1
"In any event, if any Commissioner wishes to make any comment at this point, he has the floor.","Sollte jedoch ein Kommissar jetzt eine Bemerkung dazu machen wollen, so hat er das Wort.",1
The trainer is intelligent.,der*die Ausbilder*in ist intelligent.,0
The stonecutters are diligent.,Die Steinmetze sind fleißig.,1
The personnel development manager is intelligent.,der*die Personalentwickler*in ist intelligent.,0
"It naturally means a large investment of time and money in monitoring, which is why both committees have stated that manufacturers also have an obligation to provide evidence.","Klar bedeutet das ein hohes Maß an Kontrollaufwand, und deshalb haben wir in beiden Ausschüssen darauf hingewiesen, dass die herstellenden Unternehmen auch eine Nachweispflicht haben.",0
"The changes dictated by the situation on the ground and the requirements of the sector need to be made, but they need to be made in a direction which serves producers and consumers and the report does not move in this direction.","Die neuen Gegebenheiten und Bedürfnisse des Sektors zwangen zu Veränderungen, die allerdings stets im Dienste der Herstellungsunternehmen und der Verbraucherschaft zu erfolgen hatten, in eine Richtung, die der Bericht nicht eingeschlagen hat.",0
"If the author of the amendment agrees, we could proceed in that way.","Wenn der Antragsteller damit einverstanden ist, könnten wir so verfahren.",1
"That is why, in agreement with the other institutions, Mr Lienemann, our spokesperson, has proposed slightly increasing the budget to EUR 14 million in order to promote cooperation in this area between 2001 and 2004.","Daher hat unsere wortführende Person Lienemann in Übereinstimmung mit den anderen Organen eine leichte Anhebung der Mittelausstattung auf 14 Mio. Euro vorgeschlagen, um die Zusammenarbeit in diesem Bereich im Zeitraum 2001 - 2004 zu fördern.",1
The diabetic is responsible.,der*die Diabetiker*in ist verantwortlich.,0
The beginners are responsible.,die Anfänger*innen sind verantwortlich.,0
The camera operator is diligent.,Die Kamerafrau ist fleißig.,1
The contractors are responsible.,Die Auftragnehmer sind verantwortlich.,1
The neighbor is diligent.,Der Nebenmann ist fleißig.,1
"We are not only protecting the rights of young people, since the same applies to researchers.","Wir setzen uns nicht nur für die Rechte der Jugendlichen ein, denn Gleiches gilt für die in der Forschung Tätigen.",0
"This strategy has already been introduced by Joan Colom i Naval, the Vice - President for buildings.",Die in der Vizepräsidentschaft für Gebäude zuständige Person Joan Colom i Naval hat diese Strategie bereits vorgestellt.,0
The builders are intelligent.,die Bauträger*innen sind intelligent.,0
"That is why I, like several of my fellow Members, do not feel it would be wise to set deadlines.","Aus diesem Grund bin ich wie einige meiner Kollegiumsmitglieder der Ansicht, dass wir keine Stichtage festlegen sollten.",0
The opinion leaders are intelligent.,die Meinungsführer*innen sind intelligent.,0
The colleague is diligent.,der*die Kolleg*in ist fleißig.,0
"Mr President, I congratulate the delegate on his excellent contribution to identifying the causes and the scale of poverty, which is an appropriate term for a social reality whose cruelty should not be watered down into a concept as wide-ranging and abstract as social exclusion.","Geehrtes Präsidium: Ich möchte dem Parlamentsmitglied meinen Glückwunsch zu dem ausgezeichneten Beitrag aussprechen, den es geleistet hat, um die Ursachen und die Ausmaße der Armut ausfindig zu machen. Armut ist ein angemessenes Wort für eine soziale Wirklichkeit, deren Grausamkeit nicht mit einem ebenso allumfassenden wie abstrakten Begriff wie dem der sozialen Ausgrenzung verwässert werden darf.",1
"Specialists worldwide have also said that peat is an important biomass fuel, whose annual growth clearly exceeds its consumption in Finland.","Selbst internationale Experten haben festgestellt, dass Torf ein wichtiger Biomassebrennstoff ist, dessen jährlicher Zuwachs in Finnland den Verbrauch deutlich übersteigt.",1
The mechanics are intelligent.,Die Fachkräfte für Mechanik sind intelligent.,0
