ID;Europarl_ID;SET;SRC;REF-G;REF-N;GENDER;COMMON;REF-G_ann;G-WORDS
11;ep-en-de-10551;Set-G;Recently our Taoiseach, Mrs Ahern, clearly stated that the European Charter of Fundamental Human Rights should remain a political, not a legal document.;Vor kurzem stellte Frau Ahern, unsere Premierministerin, eindeutig fest, dass die Europäische Charta der Grundrechte ein politisches Dokument bleiben und kein juristisches Dokument werden sollte.;Vor kurzem stellte unser Regierungsoberhaupt Ahern eindeutig fest, dass die Europäische Charta der Grundrechte ein politisches Dokument bleiben und kein juristisches Dokument werden sollte.;F;yes;Vor kurzem stellte <G>Frau</G> Ahern , <G>unsere</G> <G>Premierministerin</G> , eindeutig fest , dass die Europäische Charta der Grundrechte ein politisches Dokument bleiben und kein juristisches Dokument werden sollte .;Frau & unsere & Premierministerin
12;ep-en-de-10610;Set-G;I congratulate my Socialist colleague, Mrs Marinho, for her excellent report on strengthening the fight against international money laundering and organised crime.;Ich beglückwünsche Frau Marinho, meine sozialdemokratische Kollegin, zu ihrem ausgezeichneten Bericht über die Intensivierung des Kampfes gegen die internationale Geldwäsche und das organisierte Verbrechen.;Ich beglückwünsche Marinho von der sozialdemokratischen Partei zu einem ausgezeichneten Bericht über die Intensivierung des Kampfes gegen die internationale Geldwäsche und das organisierte Verbrechen.;F;no;Ich beglückwünsche <G>Frau</G> Marinho , <G>meine</G> <G>sozialdemokratische</G> <G>Kollegin</G> , zu <G>ihrem</G> ausgezeichneten Bericht über die Intensivierung des Kampfes gegen die internationale Geldwäsche und das organisierte Verbrechen .;Frau & meine & sozialdemokratische & Kollegin & ihrem
13;ep-en-de-10644;Set-G;And I am not saying this merely because my daughter has recently graduated as a fully-fledged lawyer.;Und das sage ich nicht nur, weil meine Tochter gerade ihren Hochschulabschluss als Volljuristin bzw. Rechtsanwältin erworben hat.;Und das sage ich nicht nur, weil mein Kind gerade seinen Hochschulabschluss im Bereich Jura erworben hat und voll qualifiziert ist, juristisch tätig zu sein.;F;no;Und das sage ich nicht nur , weil <G>meine</G> <G>Tochter</G> gerade <G>ihren</G> Hochschulabschluss als <G>Volljuristin</G> bzw. <G>Rechtsanwältin</G> erworben hat .;meine & Tochter & ihren & Volljuristin & Rechtsanwältin
14;ep-en-de-10689;Set-G;Our representative has identified and brought Turkey's attention to this common ground in her really excellent report, for which I too wish to thank her.;Diese gemeinsame Grundlage hat unsere Vertreterin in ihrem wirklich ausgezeichneten Bericht, für den auch ich ihr danken möchte, herausgearbeitet und der Türkei gegenüber deutlich gemacht.;Diese gemeinsame Grundlage hat unsere Vertretung in ihrem wirklich ausgezeichneten Bericht, für den auch ich ihr danken möchte, herausgearbeitet und der Türkei gegenüber deutlich gemacht.;F;no;Diese gemeinsame Grundlage hat <G>unsere</G> <G>Vertreterin</G> in <G>ihrem</G> wirklich ausgezeichneten Bericht , für den auch ich <G>ihr</G> danken möchte , herausgearbeitet und der Türkei gegenüber deutlich gemacht .;unsere & Vertreterin & ihrem & ihr
15;ep-en-de-10704;Set-G;I should particularly like to address Mrs Verheugen, as the Commissioner with responsibility for enlargement.;Ich möchte mich speziell an Frau Verheugen, die für die Erweiterung zuständige Kommissarin, wenden.;Ich möchte mich speziell an das für die Erweiterung zuständige Kommissionsmitglied Verheugen wenden.;F;no;Ich möchte mich speziell an <G>Frau</G> Verheugen , <G>die</G> für die Erweiterung <G>zuständige</G> <G>Kommissarin</G> , wenden .;Frau & die & zuständige & Kommissarin
16;ep-en-de-10707;Set-G;The Commissioner herself referred to this genocide as if it were something forgotten.;Die Kommissarin selbst hat diesen Völkermord als etwas Vergessenes bezeichnet.;Das Kommissionsmitglied selbst hat diesen Völkermord als etwas Vergessenes bezeichnet.;F;no;<G>Die</G> <G>Kommissarin</G> selbst hat diesen Völkermord als etwas Vergessenes bezeichnet .;Die & Kommissarin
17;ep-en-de-10846;Set-G;Indeed, on Thursday evening, I assessed the situation with Mrs Josselin, the French Minister responsible for these matters, and I know that she is wholeheartedly behind the idea of promoting the process as we see it.;Im Übrigen habe ich am Donnerstagabend ein ausführliches Gespräch mit Frau Josselin, der für diese Fragen zuständigen französischen Ministerin, gehabt, und ich weiß auch, dass sie entschlossen ist, den Prozess so zu fördern, wie wir das sehen.;Im Übrigen habe ich am Donnerstagabend ein ausführliches Gespräch mit Josselin, der Leitung des französischen Ministeriums, die für diese Fragen zuständig ist, gehabt, und ich weiß auch, dass sie entschlossen ist, den Prozess so zu fördern, wie wir das sehen.;F;no;Im Übrigen habe ich am Donnerstagabend ein ausführliches Gespräch mit <G>Frau</G> Josselin , <G>der</G> für diese Fragen zuständigen französischen <G>Ministerin</G> , gehabt , und ich weiß auch , dass <G>sie</G> entschlossen ist , den Prozess so zu fördern , wie wir das sehen .;Frau & der & Ministerin & sie
18;ep-en-de-11045;Set-G;Madam President, my initial impression of President Kostunica is that she is a very pragmatic politician since she assumed power in the Federal Republic of Yugoslavia.;Frau Präsidentin, mein erster Eindruck von Präsidentin Kostunica besagt, dass sie seit ihrer Machtübernahme in der Bundesrepublik Jugoslawien politisch sehr pragmatisch vorgegangen ist.;Geehrtes Präsidium, mein erster Eindruck vom Staatsoberhaupt Kostunica besagt, dass es seit seiner Machtübernahme in der Bundesrepublik Jugoslawien politisch sehr pragmatisch vorgegangen ist.;F;no;<G>Frau</G> <G>Präsidentin</G> , mein erster Eindruck von <G>Präsidentin</G> Kostunica besagt , dass <G>sie</G> seit <G>ihrer</G> Machtübernahme in der Bundesrepublik Jugoslawien politisch sehr pragmatisch vorgegangen ist .;Frau & Präsidentin & Präsidentin & sie & ihrer
19;ep-en-de-11051;Set-G;I hope that President Kostunica will steadily consolidate her position as the new democratic leadership in the Federal Republic of Yugoslavia at all political levels.;Ich hoffe, dass es Präsidentin Kostunica gelingen wird, ihre Position als neue demokratische Führung der Bundesrepublik Jugoslawien auf allen Ebenen des politischen Lebens zu festigen.;Ich hoffe, dass es der Präsidentschaft unter Kostunica gelingen wird, ihre Position als neue demokratische Führung der Bundesrepublik Jugoslawien auf allen Ebenen des politischen Lebens zu festigen.;F;no;Ich hoffe , dass es <G>Präsidentin</G> Kostunica gelingen wird , <G>ihre</G> Position als neue demokratische Führung der Bundesrepublik Jugoslawien auf allen Ebenen des politischen Lebens zu festigen .;Präsidentin & ihre
20;ep-en-de-11153;Set-G;I should like to mention that the President of the Republic will be accompanied, as is usually the case, by her delegation.;Ich möchte hinzufügen, dass die Staatspräsidentin, wie es üblich ist, von ihrer Delegation begleitet wird.;Ich möchte hinzufügen, dass die Person, die als Staatsoberhaupt fungiert, wie es üblich ist, von ihrer Delegation begleitet wird.;F;no;Ich möchte hinzufügen, dass<G>die</G> <G>Staatspräsidentin</G> , wie es üblich ist , von <G>ihrer</G> Delegation begleitet wird .;die & Staatspräsidentin & ihrer
21;ep-en-de-11155;Set-G;I have been informed that Mrs Ferrero-Waldner intends to come and I will be only too pleased to see her.;Ich wurde darüber informiert, dass Frau Ferrero - Waldner ihr Kommen angekündigt hat. Ich werde sie gern empfangen.;Ich wurde darüber informiert, dass Ferrero - Waldner das eigene Kommen angekündigt hat. Ich werde diese Person gern empfangen.;F;yes;Ich wurde darüber informiert, dass<G>Frau</G> Ferrero - Waldner <G>ihr</G> Kommen angekündigt hat. Ich werde <G>sie</G> gern empfangen .;Frau & ihr & sie
22;ep-en-de-11198;Set-G;I do not know, especially as it is the Commissioner for Agriculture, Rural Development and Fisheries, Mrs Franz Fischler who is negotiating this Fisheries Agreement.;Ich weiß nicht, zumal es die Kommissarin für Landwirtschaft und Fischerei, Franz Fischler, ist, die die Verhandlungen für dieses Fischereiabkommen führt.;Ich weiß nicht, zumal es Franz Fischler, das Kommissionsmitglied für Landwirtschaft und Fischerei, ist, das die Verhandlungen für dieses Fischereiabkommen führt.;F;no;Ich weiß nicht , zumal es <G>die</G> <G>Kommissarin</G> für Landwirtschaft und Fischerei, Franz Fischler, ist, <G>die</G> die Verhandlungen für dieses Fischereiabkommen führt .;die & Kommissarin & die
23;ep-en-de-11204;Set-G;Anyway, allow me to say that Commissioner Fischler is neither Mediterranean nor is she from the Atlantic, and what is more we are unfortunate enough to have a Director-General for Fisheries who is from the north Atlantic and only learnt about fisheries problems when she was recently appointed to that post.;Auf jeden Fall gestatten Sie mir zu sagen, dass Frau Fischler weder vom Mittelmeer noch vom Atlantik stammt, und darüber hinaus haben wir unglücklicherweise eine Generaldirektorin für Fischerei, die vom Nordatlantik stammt und die sich mit den Fischereiproblemen erst vertraut machte, als sie kürzlich in dieses Amt berufen wurde.;Auf jeden Fall gestatten Sie mir zu sagen, dass Fischler weder vom Mittelmeer noch vom Atlantik stammt, und darüber hinaus haben wir unglücklicherweise eine Person an der Spitze der Generaldirektion für Fischerei, die vom Nordatlantik stammt und die sich mit den Fischereiproblemen erst vertraut machte, als sie kürzlich in dieses Amt berufen wurde.;F;no;Auf jeden Fall gestatten Sie mir zu sagen , dass <G>Frau</G> Fischler weder vom Mittelmeer noch vom Atlantik stammt , und darüber hinaus haben wir unglücklicherweise <G>eine</G> <G>Generaldirektorin</G> für Fischerei , <G>die</G> vom Nordatlantik stammt und <G>die</G> sich mit den Fischereiproblemen erst vertraut machte , als <G>sie</G> kürzlich in dieses Amt berufen wurde .;Frau & eine & Generaldirektorin & die & die & sie
24;ep-en-de-11228;Set-G;I have a letter from another constituent of mine who draws to my attention that she has been in prison since 28 March 2000 on similar suspicion.;Ich habe ein Schreiben einer weiteren Wählerin aus meinem Wahlbezirk, die mich darauf aufmerksam macht, dass sie sich seit dem 28. März 2000 aufgrund eines ähnlichen Verdachts in Haft befindet.;Ich habe ein Schreiben einer weiteren wahlberechtigten Person aus meinem Wahlbezirk, die mich darauf aufmerksam macht, dass sie sich seit dem 28. März 2000 aufgrund eines ähnlichen Verdachts in Haft befindet.;F;no;Ich habe ein Schreiben <G>einer</G> weiteren <G>Wählerin</G> aus meinem Wahlbezirk , <G>die</G> mich darauf aufmerksam macht , dass <G>sie</G> sich seit dem 28. März 2000 aufgrund eines ähnlichen Verdachts in Haft befindet .;einer & Wählerin & die & sie
25;ep-en-de-1128;Set-G;We need to make use of all the information possibilities that Commissioner Verheugen spoke of in her very reflective and elegant speech today.;Wir müssen sämtliche verfügbaren Informationsmöglichkeiten nutzen, wie Frau Verheugen in ihrem sehr nachdenklichen und eleganten Beitrag heute feststellte.;Wir müssen sämtliche verfügbaren Informationsmöglichkeiten nutzen, wie Kommissionsmitglied Verheugen im sehr nachdenklichen und eleganten Beitrag heute feststellte.;F;no;Wir müssen sämtliche verfügbaren Informationsmöglichkeiten nutzen , wie <G>Frau</G> Verheugen in <G>ihrem</G> sehr nachdenklichen und eleganten Beitrag heute feststellte .;Frau & ihrem
26;ep-en-de-11312;Set-G;It would be a good idea for Commissioner Patten, who has a great deal of experience, not to say wisdom, in managing international crises, to add to the visits which she has made to various regions of the Balkans by going to the headquarters of the Agency in Thessaloniki in order to see how this department works.;Und es wäre vernünftig, wenn sich Frau Kommissarin Patten, die sehr viel Erfahrung um nicht zu sagen Weisheit im Umgang mit internationalen Krisen besitzt und zudem verschiedene Regionen des Balkans besucht hat, einmal an den Sitz der Agentur, nach Thessaloniki, begäbe und sich ansähe, wie diese Dienststelle arbeitet.;Und es wäre vernünftig, wenn sich das Kommissionsmitglied Patten, das sehr viel Erfahrung, um nicht zu sagen Weisheit im Umgang mit internationalen Krisen besitzt und zudem verschiedene Regionen des Balkans besucht hat, einmal an den Sitz der Agentur, nach Thessaloniki, begäbe und sich ansähe, wie diese Dienststelle arbeitet.;F;no;Und es wäre vernünftig , wenn sich <G>Frau</G> <G>Kommissarin</G> Patten , <G>die</G> sehr viel Erfahrung um nicht zu sagen Weisheit im Umgang mit internationalen Krisen besitzt und zudem verschiedene Regionen des Balkans besucht hat , einmal an den Sitz der Agentur , nach Thessaloniki , begäbe und sich ansähe , wie diese Dienststelle arbeitet .;Frau & Kommissarin & die
27;ep-en-de-11467;Set-G;The Commissioner, when she replied to my report last month, seemed to get her geographical situations slightly mixed up: she did not know whether she was going to Scotland, Ireland or Northern Ireland.;Als die Kommissarin letzten Monat auf meinen Bericht einging, hatte sie sich wohl etwas auf der Landkarte verirrt. Sie wusste nicht genau, ob sie nun nach Schottland, Irland oder Nordirland reist.;Als das Mitglied der Kommission letzten Monat auf meinen Bericht einging, hatte es sich wohl etwas auf der Landkarte verirrt. Es wusste nicht genau, ob es nun nach Schottland, Irland oder Nordirland reist.;F;no;Als <G>die</G> <G>Kommissarin</G> letzten Monat auf meinen Bericht einging , hatte <G>sie</G> sich wohl etwas auf der Landkarte verirrt . <G>Sie</G> wusste nicht genau , ob <G>sie</G> nun nach Schottland , Irland oder Nordirland reist .;die & Kommissarin & sie & Sie & sie
28;ep-en-de-11568;Set-G;First and foremost, I would like to compliment the deputy, Mrs Garot, on the fact that she has done her utmost to see if she can do something to help at a time when pig farming is lapsing into crisis.;Zunächst mein Kompliment an die Stellvertreterin, Frau Garot, dafür, dass sie keine Mühe gescheut hat, zu prüfen, was zu einem Zeitpunkt unternommen werden kann, da die Schweinehaltung in eine Krise gerät.;Zunächst mein Kompliment an die stellvertretende Person Garot dafür, dass sie keine Mühe gescheut hat, zu prüfen, was zu einem Zeitpunkt unternommen werden kann, da die Schweinehaltung in eine Krise gerät.;F;no;Zunächst mein Kompliment an <G>die</G> <G>Stellvertreterin</G> , <G>Frau</G> Garot , dafür , dass <G>sie</G> keine Mühe gescheut hat , zu prüfen , was zu einem Zeitpunkt unternommen werden kann , da die Schweinehaltung in eine Krise gerät .;die & Stellvertreterin & Frau & sie
29;ep-en-de-11612;Set-G;I welcome the President of the Court of Auditors, Mrs Karlsson, and I immediately give her the floor.;Ich freue mich, dass die Präsidentin des Rechnungshofs, Frau Karlsson, anwesend ist und erteile ihr umgehend das Wort.;Ich freue mich, dass das Präsidium des Rechnungshofs in der Person Karlsson anwesend ist und erteile ihr umgehend das Wort.;F;no;Ich freue mich , dass <G>die</G> <G>Präsidentin</G> des Rechnungshofs , <G>Frau</G> Karlsson , anwesend ist und erteile <G>ihr</G> umgehend das Wort .;die & Präsidentin & Frau & ihr
30;ep-en-de-11708;Set-G;We have met President Prodi and have seen that she has personally taken on the development of the White Paper in accordance with many of the recommendations that have been received year after year from the Court over which Mrs Karlsson so ably presides.;Wir, haben uns kurz zuvor mit Präsidentin Prodi getroffen und uns überzeugt, dass sie sich persönlich für die Realisierung des Weißbuchs einsetzt, wobei viele der Empfehlungen Berücksichtigung finden, die Jahr für Jahr bei dem durch Frau Karlsson so würdig geleiteten Rechnungshof eingehen.;Wir haben uns kurz zuvor mit der präsidierenden Person Prodi getroffen und uns überzeugt, dass sie sich persönlich für die Realisierung des Weißbuchs einsetzt, wobei viele der Empfehlungen Berücksichtigung finden, die Jahr für Jahr bei dem durch Karlsson so würdig geleiteten Rechnungshof eingehen.;F;no;Wir , haben uns kurz zuvor mit <G>Präsidentin</G> Prodi getroffen und uns überzeugt , dass <G>sie</G> sich persönlich für die Realisierung des Weißbuchs einsetzt , wobei viele der Empfehlungen Berücksichtigung finden , die Jahr für Jahr bei dem durch <G>Frau</G> Karlsson so würdig geleiteten Rechnungshof eingehen .;Präsidentin & sie & Frau
31;ep-en-de-11842;Set-G;Madam President, I join the general congratulations to Mrs González Álvarez who has been a sympathetic and inclusive spokesperson.;Frau Präsident in, ich möchte mich den Glückwünschen für Frau González Álvarez anschließen, die ihr Amt auf sympathische Weise und unter Einbeziehung aller Beteiligten ausgeübt hat.;Sehr geehrtes Präsidium, ich möchte mich den Glückwünschen für die geschätzte Person González Álvarez anschließen, die ihr Amt auf sympathische Weise und unter Einbeziehung aller Beteiligten ausgeübt hat.;F;yes;<G>Frau</G> <G>Präsident</G> in, ich möchte mich den Glückwünschen für <G>Frau</G> González Álvarez anschließen , <G>die</G> <G>ihr</G> Amt auf sympathische Weise und unter Einbeziehung aller Beteiligten ausgeübt hat .;Frau & Präsident & Frau & die & ihr
32;ep-en-de-11853;Set-G;The Commission has begun to take a tentative but welcome step in that direction and perhaps the Commissioner will say more about that when she replies.;Die Kommission hat einen zaghaften, aber sehr begrüßenswerten Schritt in diese Richtung unternommen, und vielleicht kann die Kommissarin in ihrer Antwort näher darauf eingehen.;Die Kommission hat einen zaghaften, aber sehr begrüßenswerten Schritt in diese Richtung unternommen, und vielleicht kann die Kommissarin in ihrer Antwort näher darauf eingehen.;F;no;Die Kommission hat einen zaghaften , aber sehr begrüßenswerten Schritt in diese Richtung unternommen , und vielleicht kann <G>die</G> <G>Kommissarin</G> in <G>ihrer</G> Antwort näher darauf eingehen .;die & Kommissarin & ihrer
33;ep-en-de-11867;Set-G;We concur with the rapporteur where she has highlighted the importance of providing information about the risks, and the need for transparency, especially in the sphere of health and safety.;Der Feststellung der Berichterstatterin, auf die Bereitstellung von Information über die Risiken und auf die Transparenz vor allem im Bereich der Gesundheit und Sicherheit sei größerer Nachdruck zu legen, stimmen wir zu.;Der Feststellung der berichterstattenden Person, auf die Bereitstellung von Information über die Risiken und auf die Transparenz vor allem im Bereich der Gesundheit und Sicherheit sei größerer Nachdruck zu legen, stimmen wir zu.;F;no;Der Feststellung <G>der</G> <G>Berichterstatterin</G> , auf die Bereitstellung von Information über die Risiken und auf die Transparenz vor allem im Bereich der Gesundheit und Sicherheit sei größerer Nachdruck zu legen , stimmen wir zu .;der & Berichterstatterin
34;ep-en-de-11874;Set-G;And this is certainly not the fault of the work carried out by Mrs González Álvarez, who has endeavoured very successfully to improve the legislation under consideration, but is inherent in both the guidelines and parts of the proposal itself.;Dies nicht etwa aufgrund der Tätigkeit der Kollegin González Álvarez, die sich hervorragend um eine Verbesserung der zu prüfenden Rechtsvorschriften bemüht hat, als vielmehr wegen der Leitlinien und bestimmter Inhalte des Vorschlags an sich.;Dies nicht etwa aufgrund der Tätigkeit des Kollegiumsmitglieds González Álvarez, das sich hervorragend um eine Verbesserung der zu prüfenden Rechtsvorschriften bemüht hat, als vielmehr wegen der Leitlinien und bestimmter Inhalte des Vorschlags an sich.;F;yes;Dies nicht etwa aufgrund der Tätigkeit <G>der</G> <G>Kollegin</G> González Álvarez , <G>die</G> sich hervorragend um eine Verbesserung der zu prüfenden Rechtsvorschriften bemüht hat , als vielmehr wegen der Leitlinien und bestimmter Inhalte des Vorschlags an sich .;der & Kollegin & die
35;ep-en-de-11896;Set-G;"Then, some years later, when I allowed my second daughter, who is six or seven years younger, to go out on her own, her older sister protested: ""You never let me go out on my own and here you are, letting my sister out alone, and she is younger than I was""!";"Als ich hingegen einige Jahre später meiner zweiten Tochter im Alter von noch nicht einmal sechs oder sieben Jahre erlaubte, allein spazieren zu gehen, protestierte die Große: Mir hast Du nicht erlaubt, allein zu gehen, aber meiner Schwester, die viel jünger ist, sehr wohl! """;"Als ich hingegen einige Jahre später meinem zweiten Kind im Alter von noch nicht einmal sechs oder sieben Jahre erlaubte, allein spazieren zu gehen, protestierte das ältere Kind: Mir hast Du nicht erlaubt, allein zu gehen, aber deinem jüngeren Nachwuchs, der viel jünger ist, sehr wohl! """;F;no;" Als ich hingegen einige Jahre später <G>meiner</G> zweiten <G>Tochter</G> im Alter von noch nicht einmal sechs oder sieben Jahre erlaubte , allein spazieren zu gehen , protestierte <G>die</G> Große :  Mir hast Du nicht erlaubt , allein zu gehen , aber <G>meiner</G> <G>Schwester</G> , <G>die</G> viel jünger ist , sehr wohl ! """;meiner & Tochter & die & meiner & Schwester & die
36;ep-en-de-11923;Set-G;In the hope of seeing the final line taken by the spokesperson endorsed and declaring my support for her regarding the amendments which are to be put to the vote in plenary, I trust that this directive will rapidly continue through the procedures towards the confirmation of the Union's undertaking.;In der Hoffnung auf eine Bestätigung der endgültigen Orientierung der Sprecherin pflichte ich ihr im Hinblick auf die Änderungsanträge, die dem Plenum erneut zur Abstimmung vorgelegt werden, bei und wünsche mir, dass diese Richtlinie rasch das weitere Gesetzgebungsverfahren durchlaufen möge, um das Engagement der Union zu bestätigen.;In der Hoffnung auf eine Bestätigung der endgültigen Orientierung der mitteilenden Person pflichte ich ihr im Hinblick auf die Änderungsanträge, die dem Plenum erneut zur Abstimmung vorgelegt werden, bei und wünsche mir, dass diese Richtlinie rasch das weitere Gesetzgebungsverfahren durchlaufen möge, um das Engagement der Union zu bestätigen.;F;yes;In der Hoffnung auf eine Bestätigung der endgültigen Orientierung <G>der</G> <G>Sprecherin</G> pflichte ich <G>ihr</G> im Hinblick auf die Änderungsanträge , die dem Plenum erneut zur Abstimmung vorgelegt werden , bei und wünsche mir , dass diese Richtlinie rasch das weitere Gesetzgebungsverfahren durchlaufen möge , um das Engagement der Union zu bestätigen .;der & Sprecherin & ihr
