english,german,label
The course participants are responsible.,die Kursteilnehmer*innen sind verantwortlich.,0
The course participants are responsible.,die Kursteilnehmer:innen sind verantwortlich.,0
The patient is diligent.,Der Patient ist fleißig.,1
The patient is diligent.,Die Patientin ist fleißig.,1
The patient is diligent.,die zu behandelnde Person ist fleißig.,0
The patient is diligent.,der*die Patient*in ist fleißig.,0
The patient is diligent.,der:die Patient:in ist fleißig.,0
The patient is intelligent.,Der Patient ist intelligent.,1
The patient is intelligent.,Die Patientin ist intelligent.,1
The patient is intelligent.,die zu behandelnde Person ist intelligent.,0
The patient is intelligent.,der*die Patient*in ist intelligent.,0
The patient is intelligent.,der:die Patient:in ist intelligent.,0
The patient is responsible.,Der Patient ist verantwortlich.,1
The patient is responsible.,Die Patientin ist verantwortlich.,1
The patient is responsible.,die zu behandelnde Person ist verantwortlich.,0
The patient is responsible.,der*die Patient*in ist verantwortlich.,0
The patient is responsible.,der:die Patient:in ist verantwortlich.,0
The patients are diligent.,Die Patienten sind fleißig.,1
The patients are diligent.,Die Patientinnen sind fleißig.,1
The patients are diligent.,Die zu behandelnden Personen sind fleißig.,0
The patients are diligent.,die Patient*innen sind fleißig.,0
The patients are diligent.,die Patient:innen sind fleißig.,0
The patients are intelligent.,Die Patienten sind intelligent.,1
The patients are intelligent.,Die Patientinnen sind intelligent.,1
The patients are intelligent.,Die zu behandelnden Personen sind intelligent.,0
The patients are intelligent.,die Patient*innen sind intelligent.,0
The patients are intelligent.,die Patient:innen sind intelligent.,0
The patients are responsible.,Die Patienten sind verantwortlich.,1
The patients are responsible.,Die Patientinnen sind verantwortlich.,1
The patients are responsible.,Die zu behandelnden Personen sind verantwortlich.,0
The patients are responsible.,die Patient*innen sind verantwortlich.,0
The patients are responsible.,die Patient:innen sind verantwortlich.,0
The mountaineer is diligent.,Der Bergsteiger ist fleißig.,1
The mountaineer is diligent.,Die Bergsteigerin ist fleißig.,1
The mountaineer is diligent.,die bergbegeisterte Person ist fleißig.,0
The mountaineer is diligent.,der*die Bergsteiger*in ist fleißig.,0
The mountaineer is diligent.,der:die Bergsteiger:in ist fleißig.,0
The mountaineer is intelligent.,Der Bergsteiger ist intelligent.,1
The mountaineer is intelligent.,Die Bergsteigerin ist intelligent.,1
The mountaineer is intelligent.,die bergbegeisterte Person ist intelligent.,0
The mountaineer is intelligent.,der*die Bergsteiger*in ist intelligent.,0
The mountaineer is intelligent.,der:die Bergsteiger:in ist intelligent.,0
The mountaineer is responsible.,Der Bergsteiger ist verantwortlich.,1
The mountaineer is responsible.,Die Bergsteigerin ist verantwortlich.,1
The mountaineer is responsible.,die bergbegeisterte Person ist verantwortlich.,0
The mountaineer is responsible.,der*die Bergsteiger*in ist verantwortlich.,0
The mountaineer is responsible.,der:die Bergsteiger:in ist verantwortlich.,0
The mountaineers are diligent.,Die Bergsteiger sind fleißig.,1
The mountaineers are diligent.,Die Bergsteigerinnen sind fleißig.,1
The mountaineers are diligent.,Die Bergbegeisterten sind fleißig.,0
The mountaineers are diligent.,die Bergsteiger*innen sind fleißig.,0
The mountaineers are diligent.,die Bergsteiger:innen sind fleißig.,0
The mountaineers are intelligent.,Die Bergsteiger sind intelligent.,1
The mountaineers are intelligent.,Die Bergsteigerinnen sind intelligent.,1
The mountaineers are intelligent.,Die Bergbegeisterten sind intelligent.,0
The mountaineers are intelligent.,die Bergsteiger*innen sind intelligent.,0
The mountaineers are intelligent.,die Bergsteiger:innen sind intelligent.,0
The mountaineers are responsible.,Die Bergsteiger sind verantwortlich.,1
The mountaineers are responsible.,Die Bergsteigerinnen sind verantwortlich.,1
The mountaineers are responsible.,Die Bergbegeisterten sind verantwortlich.,0
The mountaineers are responsible.,die Bergsteiger*innen sind verantwortlich.,0
The mountaineers are responsible.,die Bergsteiger:innen sind verantwortlich.,0
The children's day carer is diligent.,Der Kindertagepfleger ist fleißig.,1
The children's day carer is diligent.,Die Kindertagepflegerin ist fleißig.,1
The children's day carer is diligent.,die Kindertagespflegeperson ist fleißig.,0
The children's day carer is diligent.,der*die Kindertagpfleger*in ist fleißig.,0
The children's day carer is diligent.,der:die Kindertagpfleger:in ist fleißig.,0
The children's day carer is intelligent.,Der Kindertagepfleger ist intelligent.,1
The children's day carer is intelligent.,Die Kindertagepflegerin ist intelligent.,1
The children's day carer is intelligent.,die Kindertagespflegeperson ist intelligent.,0
The children's day carer is intelligent.,der*die Kindertagpfleger*in ist intelligent.,0
The children's day carer is intelligent.,der:die Kindertagpfleger:in ist intelligent.,0
The children's day carer is responsible.,Der Kindertagepfleger ist verantwortlich.,1
The children's day carer is responsible.,Die Kindertagepflegerin ist verantwortlich.,1
The children's day carer is responsible.,die Kindertagespflegeperson ist verantwortlich.,0
The children's day carer is responsible.,der*die Kindertagpfleger*in ist verantwortlich.,0
The children's day carer is responsible.,der:die Kindertagpfleger:in ist verantwortlich.,0
The children's day carers are diligent.,Die Kindertagepfleger sind fleißig.,1
The children's day carers are diligent.,Die Kindertagepflegerinnen sind fleißig.,1
The children's day carers are diligent.,Die Kindertagespflegepersonen sind fleißig.,0
The children's day carers are diligent.,die Kindertagpfleger*innen sind fleißig.,0
The children's day carers are diligent.,die Kindertagpfleger:innen sind fleißig.,0
The children's day carers are intelligent.,Die Kindertagepfleger sind intelligent.,1
The children's day carers are intelligent.,Die Kindertagepflegerinnen sind intelligent.,1
The children's day carers are intelligent.,Die Kindertagespflegepersonen sind intelligent.,0
The children's day carers are intelligent.,die Kindertagpfleger*innen sind intelligent.,0
The children's day carers are intelligent.,die Kindertagpfleger:innen sind intelligent.,0
The children's day carers are responsible.,Die Kindertagepfleger sind verantwortlich.,1
The children's day carers are responsible.,Die Kindertagepflegerinnen sind verantwortlich.,1
The children's day carers are responsible.,Die Kindertagespflegepersonen sind verantwortlich.,0
The children's day carers are responsible.,die Kindertagpfleger*innen sind verantwortlich.,0
The children's day carers are responsible.,die Kindertagpfleger:innen sind verantwortlich.,0
The ceramist is diligent.,Der Keramiker ist fleißig.,1
The ceramist is diligent.,Die Keramikerin ist fleißig.,1
The ceramist is diligent.,die Keramikfachkraft ist fleißig.,0
The ceramist is diligent.,der*die Keramiker*in ist fleißig.,0
The ceramist is diligent.,der:die Keramiker:in ist fleißig.,0
The ceramist is intelligent.,Der Keramiker ist intelligent.,1
The ceramist is intelligent.,Die Keramikerin ist intelligent.,1
The ceramist is intelligent.,die Keramikfachkraft ist intelligent.,0
The ceramist is intelligent.,der*die Keramiker*in ist intelligent.,0
The ceramist is intelligent.,der:die Keramiker:in ist intelligent.,0
The ceramist is responsible.,Der Keramiker ist verantwortlich.,1
The ceramist is responsible.,Die Keramikerin ist verantwortlich.,1
The ceramist is responsible.,die Keramikfachkraft ist verantwortlich.,0
The ceramist is responsible.,der*die Keramiker*in ist verantwortlich.,0
The ceramist is responsible.,der:die Keramiker:in ist verantwortlich.,0
The ceramists are diligent.,Die Keramiker sind fleißig.,1
The ceramists are diligent.,Die Keramikerinnen sind fleißig.,1
The ceramists are diligent.,Die Keramikfachkräfte sind fleißig.,0
The ceramists are diligent.,die Keramiker*innen sind fleißig.,0
The ceramists are diligent.,die Keramiker:innen sind fleißig.,0
The ceramists are intelligent.,Die Keramiker sind intelligent.,1
The ceramists are intelligent.,Die Keramikerinnen sind intelligent.,1
The ceramists are intelligent.,Die Keramikfachkräfte sind intelligent.,0
The ceramists are intelligent.,die Keramiker*innen sind intelligent.,0
The ceramists are intelligent.,die Keramiker:innen sind intelligent.,0
The ceramists are responsible.,Die Keramiker sind verantwortlich.,1
The ceramists are responsible.,Die Keramikerinnen sind verantwortlich.,1
The ceramists are responsible.,Die Keramikfachkräfte sind verantwortlich.,0
The ceramists are responsible.,die Keramiker*innen sind verantwortlich.,0
The ceramists are responsible.,die Keramiker:innen sind verantwortlich.,0
The pacifist is diligent.,Der Pazifist ist fleißig.,1
The pacifist is diligent.,Die Pazifistin ist fleißig.,1
The pacifist is diligent.,Friedensbewegte ist fleißig.,0
The pacifist is diligent.,der*die Pazifist*in ist fleißig.,0
The pacifist is diligent.,der:die Pazifist:in ist fleißig.,0
The pacifist is intelligent.,Der Pazifist ist intelligent.,1
The pacifist is intelligent.,Die Pazifistin ist intelligent.,1
The pacifist is intelligent.,Friedensbewegte ist intelligent.,0
The pacifist is intelligent.,der*die Pazifist*in ist intelligent.,0
The pacifist is intelligent.,der:die Pazifist:in ist intelligent.,0
The pacifist is responsible.,Der Pazifist ist verantwortlich.,1
The pacifist is responsible.,Die Pazifistin ist verantwortlich.,1
The pacifist is responsible.,Friedensbewegte ist verantwortlich.,0
The pacifist is responsible.,der*die Pazifist*in ist verantwortlich.,0
The pacifist is responsible.,der:die Pazifist:in ist verantwortlich.,0
The pacifists are diligent.,Die Pazifisten sind fleißig.,1
The pacifists are diligent.,Die Pazifistinnen sind fleißig.,1
The pacifists are diligent.,Die Friedensbewegten sind fleißig.,0
The pacifists are diligent.,die Pazifist*innen sind fleißig.,0
The pacifists are diligent.,die Pazifist:innen sind fleißig.,0
The pacifists are intelligent.,Die Pazifisten sind intelligent.,1
The pacifists are intelligent.,Die Pazifistinnen sind intelligent.,1
The pacifists are intelligent.,Die Friedensbewegten sind intelligent.,0
The pacifists are intelligent.,die Pazifist*innen sind intelligent.,0
The pacifists are intelligent.,die Pazifist:innen sind intelligent.,0
The pacifists are responsible.,Die Pazifisten sind verantwortlich.,1
The pacifists are responsible.,Die Pazifistinnen sind verantwortlich.,1
The pacifists are responsible.,Die Friedensbewegten sind verantwortlich.,0
The pacifists are responsible.,die Pazifist*innen sind verantwortlich.,0
The pacifists are responsible.,die Pazifist:innen sind verantwortlich.,0
The signee is diligent.,Der Unterzeichner ist fleißig.,1
The signee is diligent.,Die Unterzeichnerin ist fleißig.,1
The signee is diligent.,die unterzeichnende Person ist fleißig.,0
The signee is diligent.,der*die Unterzeichner*in ist fleißig.,0
The signee is diligent.,der:die Unterzeichner:in ist fleißig.,0
The signee is intelligent.,Der Unterzeichner ist intelligent.,1
The signee is intelligent.,Die Unterzeichnerin ist intelligent.,1
The signee is intelligent.,die unterzeichnende Person ist intelligent.,0
The signee is intelligent.,der*die Unterzeichner*in ist intelligent.,0
The signee is intelligent.,der:die Unterzeichner:in ist intelligent.,0
The signee is responsible.,Der Unterzeichner ist verantwortlich.,1
The signee is responsible.,Die Unterzeichnerin ist verantwortlich.,1
The signee is responsible.,die unterzeichnende Person ist verantwortlich.,0
The signee is responsible.,der*die Unterzeichner*in ist verantwortlich.,0
The signee is responsible.,der:die Unterzeichner:in ist verantwortlich.,0
The signees are diligent.,Die Unterzeichner sind fleißig.,1
The signees are diligent.,Die Unterzeichnerinnen sind fleißig.,1
The signees are diligent.,Die unterzeichnenden Personen sind fleißig.,0
The signees are diligent.,die Unterzeichner*innen sind fleißig.,0
The signees are diligent.,die Unterzeichner:innen sind fleißig.,0
The signees are intelligent.,Die Unterzeichner sind intelligent.,1
The signees are intelligent.,Die Unterzeichnerinnen sind intelligent.,1
The signees are intelligent.,Die unterzeichnenden Personen sind intelligent.,0
The signees are intelligent.,die Unterzeichner*innen sind intelligent.,0
The signees are intelligent.,die Unterzeichner:innen sind intelligent.,0
The signees are responsible.,Die Unterzeichner sind verantwortlich.,1
The signees are responsible.,Die Unterzeichnerinnen sind verantwortlich.,1
The signees are responsible.,Die unterzeichnenden Personen sind verantwortlich.,0
The signees are responsible.,die Unterzeichner*innen sind verantwortlich.,0
The signees are responsible.,die Unterzeichner:innen sind verantwortlich.,0
The addresser is diligent.,Der Unterzeichner ist fleißig.,1
The addresser is diligent.,Die Unterzeichnerin ist fleißig.,1
The addresser is diligent.,die unterzeichnende Person ist fleißig.,0
The addresser is diligent.,der*die Unterzeichner*in ist fleißig.,0
The addresser is diligent.,der:die Unterzeichner:in ist fleißig.,0
The addresser is intelligent.,Der Unterzeichner ist intelligent.,1
The addresser is intelligent.,Die Unterzeichnerin ist intelligent.,1
The addresser is intelligent.,die unterzeichnende Person ist intelligent.,0
The addresser is intelligent.,der*die Unterzeichner*in ist intelligent.,0
The addresser is intelligent.,der:die Unterzeichner:in ist intelligent.,0
The addresser is responsible.,Der Unterzeichner ist verantwortlich.,1
The addresser is responsible.,Die Unterzeichnerin ist verantwortlich.,1
The addresser is responsible.,die unterzeichnende Person ist verantwortlich.,0
The addresser is responsible.,der*die Unterzeichner*in ist verantwortlich.,0
The addresser is responsible.,der:die Unterzeichner:in ist verantwortlich.,0
The addressers are diligent.,Die Unterzeichner sind fleißig.,1
The addressers are diligent.,Die Unterzeichnerinnen sind fleißig.,1
The addressers are diligent.,Die unterzeichnenden Personen sind fleißig.,0
The addressers are diligent.,die Unterzeichner*innen sind fleißig.,0
The addressers are diligent.,die Unterzeichner:innen sind fleißig.,0
The addressers are intelligent.,Die Unterzeichner sind intelligent.,1
The addressers are intelligent.,Die Unterzeichnerinnen sind intelligent.,1
The addressers are intelligent.,Die unterzeichnenden Personen sind intelligent.,0
The addressers are intelligent.,die Unterzeichner*innen sind intelligent.,0
The addressers are intelligent.,die Unterzeichner:innen sind intelligent.,0
The addressers are responsible.,Die Unterzeichner sind verantwortlich.,1
The addressers are responsible.,Die Unterzeichnerinnen sind verantwortlich.,1
The addressers are responsible.,Die unterzeichnenden Personen sind verantwortlich.,0
The addressers are responsible.,die Unterzeichner*innen sind verantwortlich.,0
The addressers are responsible.,die Unterzeichner:innen sind verantwortlich.,0
The counsellor is diligent.,Der Berater ist fleißig.,1
